datescrap,marketplace,cat1_id,cat2_id,cat3_id,cat1,cat2,cat3
2023-05-31,Tokopedia,8,825,829,Buku,Religi & Spiritual,Buku Agama Hindu
2023-05-31,Tokopedia,984,992,5191,Rumah Tangga,Furniture,Kursi Kantor
2023-05-31,Tokopedia,984,992,3713,Rumah Tangga,Furniture,Kursi Makan
2023-05-31,Tokopedia,984,988,3766,Rumah Tangga,Kebersihan,Pengki
2023-05-31,Tokopedia,984,988,1019,Rumah Tangga,Kebersihan,Sapu
2023-05-31,Tokopedia,984,991,3733,Rumah Tangga,Tempat Penyimpanan,Tempat Remote
2023-05-31,Tokopedia,984,991,1372,Rumah Tangga,Tempat Penyimpanan,Tempat Sepatu & Sandal
2023-05-31,Tokopedia,984,987,3763,Rumah Tangga,Laundry,Roll Pembersih Pakaian
2023-05-31,Tokopedia,984,986,3718,Rumah Tangga,Kamar Mandi,Rak Toilet
2023-05-31,Tokopedia,984,986,1008,Rumah Tangga,Kamar Mandi,Shower Curtain
2023-05-31,Tokopedia,8,3318,4364,Buku,Teknik & Sains,Buku Fisika
2023-05-31,Tokopedia,8,3318,4365,Buku,Teknik & Sains,Buku Geografi
2023-05-31,Tokopedia,8,3317,3405,Buku,Pertanian,Agribisnis
2023-05-31,Tokopedia,8,3317,3401,Buku,Pertanian,Bioteknologi Pertanian
2023-05-31,Tokopedia,8,761,764,Buku,Sosial Politik,Buku Lingkungan Hidup
2023-05-31,Tokopedia,8,761,763,Buku,Sosial Politik,Buku Politik
2023-05-31,Tokopedia,8,859,861,Buku,Pengembangan Diri & Karir,Buku Kesuksesan
2023-05-31,Tokopedia,8,859,860,Buku,Pengembangan Diri & Karir,Buku Leadership Kepemimpinan
2023-05-31,Tokopedia,8,825,826,Buku,Religi & Spiritual,Buku Agama Islam
2023-05-31,Tokopedia,8,825,3383,Buku,Religi & Spiritual,Buku Agama Katolik
2023-05-31,Tokopedia,984,992,3712,Rumah Tangga,Furniture,Kursi Malas
2023-05-31,Tokopedia,984,992,1045,Rumah Tangga,Furniture,Lemari Pakaian
2023-05-31,Tokopedia,984,988,3765,Rumah Tangga,Kebersihan,Sapu Lidi
